Full name,Session,Mouse,Date,Session type,Cohort,Timing of ABA,ABA phenotype,Learnt R1 within 20 sessions?,Resistant rats to exclude,Non-learners to exclude,Sessions to exclude,Sessions post-criterion,Sessions to exclude for time spent in arena,Grooming (total duration in secs),Inactive (total duration in secs),Investigating (total duration in secs),Locomote (total duration in secs),Rearing (total duration in secs),Rotate body (total duration in secs),Grooming (bout frequency),Inactive (bout frequency),Investigating (bout frequency),Locomote (bout frequency),Rearing (bout frequency),Rotate body (bout frequency)
Black 1 Session 5 (2021-08-23),Session 5,Black 1,2021-08-23,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,22.233333333333334,168.7,56.666666666666664,1.9,9.4,27.800000000000004,9,41,22,2,6,26
Black 1 Session 5 (2021-09-22),Session 5,Black 1,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,Exclude,,5.1,136.96666666666667,190.60000000000005,46.36666666666668,49.63333333333333,79.93333333333338,2,58,84,57,38,74
Black 1 Session 6 (2021-08-23),Session 6,Black 1,2021-08-23,R1,Cohort 1,Before ABA,Susceptible,No,,Exclude,,,,6.133333333333333,1046.833333333334,333.33333333333337,19.199999999999996,100.7,179.99999999999994,4,206,166,23,56,167
Black 2 Session 1 (2021-08-18),Session 1,Black 2,2021-08-18,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,21.333333333333332,854.1000000000001,436.1999999999998,72.33333333333336,106.7,211.03333333333347,13,204,169,73,61,154
Black 2 Session 1 (2021-08-19),Session 1,Black 2,2021-08-19,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,49.5,1247.3666666666663,299.96666666666664,23.233333333333334,58.40000000000001,100.73333333333336,21,130,86,18,26,75
Black 2 Session 1 (2021-08-20),Session 1,Black 2,2021-08-20,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,Exclude,100.06666666666668,1418.5666666666666,88.6,32.4,45.699999999999996,70.36666666666667,13,51,37,26,26,51
Black 2 Session 1 (2021-08-21),Session 1,Black 2,2021-08-21,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,Exclude,6.066666666666666,1526.9333333333334,26.799999999999997,8.033333333333331,29.5,21.766666666666666,6,31,21,10,17,22
Black 2 Session 1 (2021-08-22),Session 1,Black 2,2021-08-22,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,Exclude,17.633333333333333,425.8000000000001,63.5,11.533333333333333,101.76666666666667,36.46666666666667,6,54,25,12,31,30
Black 2 Session 1 (2021-09-20),Session 1,Black 2,2021-09-20,PD,Cohort 2,Before ABA,Resistant,No,,,,,,43.8,724.6,444.4333333333333,143.4666666666666,251.83333333333337,239.26666666666654,23,178,188,141,93,216
Black 2 Session 1 (2021-09-22),Session 1,Black 2,2021-09-22,PD,Cohort 2,Before ABA,Resistant,No,,,,,,0.0,124.46666666666668,242.93333333333342,52.10000000000001,30.06666666666667,92.43333333333331,0,53,88,66,21,86
Black 2 Session 1 (2021-09-29),Session 1,Black 2,2021-09-29,R1,Cohort 2,Before ABA,Resistant,No,,,,,,7.433333333333334,1307.4333333333334,371.83333333333303,10.566666666666666,46.76666666666665,91.96666666666665,6,95,82,11,21,43
Black 2 Session 1 (2021-11-03),Session 1,Black 2,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,196.66666666666669,291.3000000000001,76.99999999999999,156.2666666666666,177.76666666666665,0,82,107,82,71,146
Black 2 Session 1 (2021-11-05),Session 1,Black 2,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,25.299999999999997,495.4666666666667,445.8000000000001,116.70000000000002,310.7999999999999,325.4333333333334,10,232,186,162,174,304
Black 2 Session 2 (2021-08-18),Session 2,Black 2,2021-08-18,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,7.7333333333333325,1035.2333333333333,434.1333333333331,23.533333333333335,149.86666666666656,114.90000000000003,7,210,164,28,66,96
Black 2 Session 2 (2021-08-19),Session 2,Black 2,2021-08-19,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,20.3,1433.6666666666667,181.90000000000003,8.366666666666667,96.43333333333331,60.53333333333333,18,114,81,9,35,56
Black 2 Session 2 (2021-08-20),Session 2,Black 2,2021-08-20,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,26.366666666666667,1384.4000000000005,237.13333333333333,2.833333333333333,32.4,56.86666666666664,13,110,86,2,13,53
Black 2 Session 2 (2021-08-21),Session 2,Black 2,2021-08-21,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,9.033333333333335,1434.8666666666663,237.23333333333335,17.033333333333328,43.999999999999986,82.43333333333334,7,154,107,19,35,73
Black 2 Session 2 (2021-08-22),Session 2,Black 2,2021-08-22,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,54.99999999999999,1566.3666666666668,126.0,3.7,19.133333333333333,29.899999999999995,19,83,51,4,12,24
Black 2 Session 2 (2021-09-20),Session 2,Black 2,2021-09-20,PD,Cohort 2,Before ABA,Resistant,No,,,,,,5.5,251.43333333333334,444.2333333333332,160.00000000000003,182.00000000000009,264.43333333333317,3,125,181,162,82,245
Black 2 Session 2 (2021-09-22),Session 2,Black 2,2021-09-22,PD,Cohort 2,Before ABA,Resistant,No,,,,Exclude,,3.5,133.79999999999998,188.63333333333333,45.599999999999994,17.633333333333333,89.03333333333333,2,66,78,60,15,93
Black 2 Session 2 (2021-11-03),Session 2,Black 2,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,Exclude,,0.0,729.6333333333333,316.73333333333323,83.26666666666668,352.033333333333,243.5333333333332,0,213,117,82,142,201
Black 2 Session 2 (2021-11-05),Session 2,Black 2,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,17.4,447.16666666666686,478.73333333333323,90.39999999999999,105.40000000000003,232.4000000000001,9,155,148,115,73,196
Black 2 Session 3 (2021-08-17),Session 3,Black 2,2021-08-17,PD,Cohort 1,Before ABA,Resistant,No,,Exclude,,Exclude,,2.0999999999999996,131.1333333333333,265.23333333333323,63.13333333333334,67.69999999999999,127.99999999999993,1,57,96,72,40,97
Black 2 Session 3 (2021-08-18),Session 3,Black 2,2021-08-18,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,21.200000000000003,1130.3666666666668,214.29999999999995,11.533333333333335,137.83333333333334,98.66666666666671,8,129,93,13,47,71
Black 2 Session 3 (2021-08-19),Session 3,Black 2,2021-08-19,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,Exclude,17.166666666666668,1007.9999999999997,226.10000000000005,6.7,68.73333333333333,65.30000000000001,11,118,82,7,26,59
Black 2 Session 3 (2021-08-20),Session 3,Black 2,2021-08-20,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,51.199999999999996,1182.7666666666662,381.6666666666667,1.5666666666666667,69.83333333333333,64.66666666666666,21,124,87,2,25,47
Black 2 Session 3 (2021-08-21),Session 3,Black 2,2021-08-21,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,20.833333333333332,1599.7666666666667,135.9333333333333,8.833333333333334,28.133333333333333,52.8,13,109,67,11,19,46
Black 2 Session 3 (2021-08-22),Session 3,Black 2,2021-08-22,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,34.166666666666664,1496.3333333333337,179.00000000000003,4.5,45.06666666666667,33.33333333333333,19,117,81,3,14,26
Black 2 Session 3 (2021-09-20),Session 3,Black 2,2021-09-20,PD,Cohort 2,Before ABA,Resistant,No,,,,,,2.0,203.39999999999998,346.9666666666666,91.70000000000002,67.19999999999999,161.03333333333336,1,80,123,105,37,153
Black 2 Session 3 (2021-09-22),Session 3,Black 2,2021-09-22,PD,Cohort 2,Before ABA,Resistant,No,,,,Exclude,,1.7666666666666668,322.1666666666668,122.66666666666667,47.0,18.6,69.10000000000001,2,50,82,57,17,75
Black 2 Session 3 (2021-11-03),Session 3,Black 2,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,Exclude,,0.0,152.30000000000004,207.16666666666663,52.5,23.833333333333336,108.30000000000003,0,64,71,65,24,107
Black 2 Session 3 (2021-11-05),Session 3,Black 2,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,17.2,256.2333333333334,556.3666666666668,95.9666666666667,105.06666666666665,234.76666666666662,8,127,148,116,73,195
Black 2 Session 4 (2021-08-18),Session 4,Black 2,2021-08-18,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,36.20000000000001,1606.9666666666665,70.43333333333332,4.833333333333334,29.900000000000002,52.166666666666664,11,71,41,6,18,50
Black 2 Session 4 (2021-08-20),Session 4,Black 2,2021-08-20,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,123.79999999999997,1526.4999999999995,121.5,5.233333333333333,22.066666666666666,44.800000000000004,14,73,52,6,12,31
Black 2 Session 4 (2021-08-21),Session 4,Black 2,2021-08-21,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,5.0,1419.1999999999998,235.66666666666663,13.933333333333332,46.13333333333334,55.46666666666666,5,118,87,14,25,44
Black 2 Session 4 (2021-08-22),Session 4,Black 2,2021-08-22,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,15.566666666666666,1472.366666666666,192.40000000000003,6.499999999999999,23.199999999999996,71.36666666666667,7,112,80,8,22,62
Black 2 Session 4 (2021-09-20),Session 4,Black 2,2021-09-20,PD,Cohort 2,Before ABA,Resistant,No,,,,,,5.966666666666667,288.3,387.83333333333314,91.36666666666665,27.666666666666668,140.5666666666666,3,112,147,104,29,137
Black 2 Session 4 (2021-09-22),Session 4,Black 2,2021-09-22,PD,Cohort 2,Before ABA,Resistant,No,,,,Exclude,,3.1000000000000005,307.2,116.36666666666663,45.3,9.0,66.73333333333333,1,48,68,48,6,71
Black 2 Session 4 (2021-11-05),Session 4,Black 2,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,26.133333333333336,528.1,499.23333333333335,81.23333333333332,70.33333333333333,198.26666666666674,9,161,179,100,55,182
Black 2 Session 5 (2021-08-20),Session 5,Black 2,2021-08-20,R1,Cohort 1,Before ABA,Resistant,No,,Exclude,,,,10.8,1160.9333333333334,329.2333333333334,32.63333333333334,53.13333333333336,141.06666666666672,5,185,147,32,32,108
Black 2 Session 5 (2021-09-22),Session 5,Black 2,2021-09-22,PD,Cohort 2,Before ABA,Resistant,No,,,,Exclude,,1.3,303.76666666666677,97.36666666666666,52.36666666666669,14.933333333333332,69.56666666666668,1,45,68,54,17,66
Black 2 Session 5 (2021-11-05),Session 5,Black 2,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,30.1,374.8999999999999,312.3666666666667,70.40000000000002,74.5,187.03333333333333,15,166,140,92,60,185
Black 3 Session 1 (2021-08-13),Session 1,Black 3,2021-08-13,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,22.433333333333337,871.4333333333333,330.66666666666697,27.23333333333333,123.33333333333336,99.80000000000001,15,191,145,28,56,92
Black 3 Session 1 (2021-08-16),Session 1,Black 3,2021-08-16,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,21.366666666666667,686.4000000000002,639.1000000000001,122.66666666666667,84.16666666666664,262.0,14,167,151,119,59,208
Black 3 Session 1 (2021-09-20),Session 1,Black 3,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,19.0,719.5999999999999,476.6,96.59999999999998,183.86666666666667,341.5333333333334,11,194,186,115,89,253
Black 3 Session 1 (2021-09-22),Session 1,Black 3,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,25.400000000000002,860.3,380.23333333333323,7.166666666666667,168.73333333333323,92.46666666666665,22,183,118,7,65,86
Black 3 Session 1 (2021-09-29),Session 1,Black 3,2021-09-29,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,38.16666666666667,1216.4333333333336,328.26666666666665,9.366666666666667,67.53333333333336,127.23333333333333,12,184,129,10,34,99
Black 3 Session 1 (2021-09-30),Session 1,Black 3,2021-09-30,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,27.5,1031.2000000000003,355.9666666666666,10.366666666666665,103.99999999999999,126.16666666666661,7,189,134,11,58,98
Black 3 Session 1 (2021-10-02),Session 1,Black 3,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,20.066666666666666,1091.5999999999995,442.7333333333334,7.566666666666666,93.69999999999999,102.13333333333333,9,188,145,9,46,89
Black 3 Session 1 (2021-10-03),Session 1,Black 3,2021-10-03,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,3.466666666666667,1088.1999999999996,388.0999999999998,4.733333333333334,57.06666666666668,111.63333333333337,4,171,125,5,35,85
Black 3 Session 1 (2021-10-04),Session 1,Black 3,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,34.0,1045.2666666666662,465.76666666666665,8.700000000000001,104.69999999999999,115.06666666666669,20,144,126,9,51,83
Black 3 Session 1 (2021-10-05),Session 1,Black 3,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,45.43333333333333,1108.3666666666668,317.4333333333333,4.166666666666666,75.56666666666665,105.53333333333332,29,172,121,6,44,102
Black 3 Session 1 (2021-11-03),Session 1,Black 3,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,8.733333333333333,514.1999999999999,438.2000000000003,146.0666666666666,352.06666666666683,276.3333333333335,4,216,231,187,244,324
Black 3 Session 1 (2021-11-05),Session 1,Black 3,2021-11-05,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,131.20000000000002,177.5000000000001,93.76666666666662,99.83333333333333,150.99999999999997,0,58,92,119,73,172
Black 3 Session 1 (2021-11-07),Session 1,Black 3,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,7.133333333333333,797.3666666666664,417.1333333333334,78.4,237.40000000000006,245.76666666666677,2,241,232,90,167,239
Black 3 Session 1 (2021-11-09),Session 1,Black 3,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.8666666666666667,112.76666666666664,239.03333333333325,77.6,141.2666666666667,156.86666666666662,1,68,99,92,86,152
Black 3 Session 2 (2021-08-16),Session 2,Black 3,2021-08-16,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,28.8,755.033333333333,455.60000000000014,84.8333333333333,39.900000000000006,190.4333333333334,11,153,124,86,34,173
Black 3 Session 2 (2021-08-17),Session 2,Black 3,2021-08-17,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,3.533333333333333,293.4333333333334,91.1,43.466666666666654,58.93333333333335,189.5333333333334,3,76,48,40,38,107
Black 3 Session 2 (2021-09-20),Session 2,Black 3,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,21.96666666666667,632.2000000000003,504.53333333333313,115.73333333333336,144.16666666666669,343.2000000000002,10,187,172,119,73,260
Black 3 Session 2 (2021-09-22),Session 2,Black 3,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,15.966666666666667,903.1999999999996,589.4666666666666,56.13333333333333,78.86666666666663,205.26666666666668,12,186,159,76,49,180
Black 3 Session 2 (2021-09-29),Session 2,Black 3,2021-09-29,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,107.56666666666665,1071.4333333333334,273.3666666666667,4.0,53.20000000000001,92.83333333333334,36,183,108,6,29,81
Black 3 Session 2 (2021-09-30),Session 2,Black 3,2021-09-30,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,28.733333333333334,607.6333333333332,162.39999999999998,5.7333333333333325,62.63333333333335,100.16666666666667,8,128,84,9,42,75
Black 3 Session 2 (2021-10-02),Session 2,Black 3,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,9.266666666666667,1095.5666666666668,310.70000000000005,5.7,56.13333333333333,119.83333333333337,6,167,104,7,31,98
Black 3 Session 2 (2021-10-03),Session 2,Black 3,2021-10-03,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,4.133333333333333,937.8999999999995,294.8666666666666,6.0666666666666655,72.0,74.63333333333334,3,129,96,8,29,70
Black 3 Session 2 (2021-10-04),Session 2,Black 3,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,11.8,889.4666666666666,415.7333333333333,10.233333333333333,71.76666666666667,124.19999999999999,8,150,115,14,39,118
Black 3 Session 2 (2021-10-05),Session 2,Black 3,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,30.33333333333333,1191.2666666666664,368.9333333333333,9.933333333333335,34.733333333333334,109.4,9,149,105,11,22,90
Black 3 Session 2 (2021-11-05),Session 2,Black 3,2021-11-05,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,4.766666666666667,151.03333333333333,204.63333333333335,101.46666666666667,90.63333333333333,207.6666666666668,4,78,106,116,63,200
Black 3 Session 2 (2021-11-07),Session 2,Black 3,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,1.2333333333333334,571.6333333333333,199.59999999999994,33.166666666666664,155.93333333333334,146.33333333333326,1,153,122,36,105,144
Black 3 Session 2 (2021-11-09),Session 2,Black 3,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,8.566666666666666,111.6,289.7333333333333,57.36666666666667,127.63333333333331,131.09999999999997,3,58,82,74,65,110
Black 3 Session 3 (2021-10-04),Session 3,Black 3,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,6.533333333333333,797.4333333333334,300.76666666666665,8.066666666666666,52.53333333333333,122.76666666666667,3,127,91,8,32,81
Black 3 Session 3 (2021-11-05),Session 3,Black 3,2021-11-05,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,113.80000000000001,173.66666666666666,48.83333333333335,34.06666666666666,113.43333333333332,0,43,59,47,16,79
Black 3 Session 3 (2021-11-07),Session 3,Black 3,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,17.03333333333333,1104.0333333333333,230.66666666666663,25.900000000000006,102.36666666666669,137.6,9,142,97,21,59,90
Black 3 Session 3 (2021-11-09),Session 3,Black 3,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,181.80000000000004,284.53333333333336,64.76666666666667,67.23333333333335,104.26666666666664,0,76,90,82,48,107
Black 3 Session 4 (2021-10-04),Session 4,Black 3,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,14.733333333333333,493.03333333333336,227.26666666666662,9.200000000000001,29.23333333333333,99.63333333333333,8,107,73,12,17,72
Black 3 Session 4 (2021-11-05),Session 4,Black 3,2021-11-05,PD,Cohort 3,Before ABA,Resistant,Yes,,,,Exclude,,0.5333333333333333,120.10000000000004,171.2666666666667,48.36666666666666,67.96666666666667,129.16666666666666,1,60,64,60,40,106
Black 3 Session 4 (2021-11-07),Session 4,Black 3,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,1.5666666666666667,1063.8000000000002,257.40000000000003,32.73333333333333,114.36666666666667,148.7333333333334,2,192,134,32,69,120
Black 3 Session 4 (2021-11-09),Session 4,Black 3,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,3.8,136.83333333333334,146.39999999999995,45.7,102.13333333333331,86.93333333333332,2,55,60,54,48,84
Black 3 Session 5 (2021-10-04),Session 5,Black 3,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,2.7333333333333334,554.1333333333333,215.89999999999998,7.133333333333333,39.9,87.5,3,94,73,9,15,58
Black 3 Session 5 (2021-11-05),Session 5,Black 3,2021-11-05,PD,Cohort 3,Before ABA,Resistant,Yes,,,,Exclude,,0.0,144.93333333333334,161.23333333333335,59.10000000000003,48.56666666666667,149.9666666666667,0,48,55,53,25,88
Black 3 Session 5 (2021-11-09),Session 5,Black 3,2021-11-09,R1,Cohort 3,Before ABA,Resistant,Yes,,,,Exclude,,8.633333333333333,146.06666666666663,87.76666666666665,22.0,26.8,66.03333333333333,5,36,25,25,20,47
Black 3 Session 6 (2021-10-04),Session 6,Black 3,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,10.933333333333334,693.4333333333335,244.36666666666676,10.866666666666669,48.73333333333333,83.66666666666666,7,94,81,12,24,57
Black 4 Session 1 (2021-08-16),Session 1,Black 4,2021-08-16,PD,Cohort 1,Before ABA,Susceptible,Yes,,,,,,4.266666666666667,161.06666666666666,220.4666666666667,55.899999999999984,49.53333333333334,134.86666666666667,3,87,84,61,41,104
Black 4 Session 1 (2021-08-17),Session 1,Black 4,2021-08-17,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,7.7,362.1000000000001,344.4333333333334,67.06666666666665,86.0,214.99999999999991,6,156,158,75,66,148
Black 4 Session 1 (2021-08-18),Session 1,Black 4,2021-08-18,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,14.5,807.8666666666674,312.2666666666666,107.86666666666666,173.93333333333334,438.0666666666665,9,218,150,109,102,276
Black 4 Session 1 (2021-08-19),Session 1,Black 4,2021-08-19,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,4.0,931.7333333333335,354.70000000000005,87.30000000000004,170.5333333333333,305.6333333333333,3,180,144,103,106,203
Black 4 Session 1 (2021-08-20),Session 1,Black 4,2021-08-20,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,19.2,687.1333333333332,303.4,66.53333333333333,99.60000000000001,192.73333333333335,13,140,124,85,82,155
Black 4 Session 1 (2021-09-20),Session 1,Black 4,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,10.133333333333335,340.86666666666673,501.6999999999997,100.60000000000005,261.3333333333333,278.5666666666665,13,165,191,135,120,255
Black 4 Session 1 (2021-09-22),Session 1,Black 4,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,7.5,279.90000000000003,662.6666666666664,114.76666666666672,240.60000000000008,307.1666666666665,7,131,184,125,112,223
Black 4 Session 1 (2021-09-29),Session 1,Black 4,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,32.53333333333333,1007.9666666666665,211.50000000000003,10.766666666666666,96.43333333333335,63.4,12,96,62,9,38,47
Black 4 Session 1 (2021-09-30),Session 1,Black 4,2021-09-30,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,26.36666666666667,681.1333333333334,348.76666666666677,8.833333333333334,78.93333333333331,86.26666666666667,12,144,115,7,44,75
Black 4 Session 1 (2021-10-02),Session 1,Black 4,2021-10-02,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,11.1,907.866666666667,339.3,8.466666666666665,123.3,96.76666666666668,6,116,85,8,50,77
Black 4 Session 1 (2021-10-03),Session 1,Black 4,2021-10-03,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,81.5,743.0333333333332,689.7333333333332,25.36666666666667,111.26666666666667,160.80000000000004,28,175,142,32,62,134
Black 4 Session 1 (2021-10-04),Session 1,Black 4,2021-10-04,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,45.93333333333334,991.7000000000002,441.3333333333333,14.500000000000002,66.66666666666669,71.16666666666667,21,77,57,20,36,58
Black 4 Session 1 (2021-10-05),Session 1,Black 4,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,14.166666666666666,841.9999999999999,582.8000000000001,31.766666666666666,116.33333333333333,158.2333333333334,15,114,111,41,52,104
Black 4 Session 1 (2021-10-06),Session 1,Black 4,2021-10-06,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,12.200000000000001,1518.733333333333,184.1,5.7333333333333325,44.33333333333333,67.1,8,66,54,8,22,29
Black 4 Session 1 (2021-10-07),Session 1,Black 4,2021-10-07,R1,Cohort 2,Before ABA,Susceptible,No,,,,,Exclude,37.73333333333333,1505.2333333333336,143.60000000000002,7.566666666666667,47.36666666666667,43.400000000000006,13,72,53,8,20,34
Black 4 Session 1 (2021-10-08),Session 1,Black 4,2021-10-08,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,31.833333333333332,1272.9333333333338,356.8333333333333,12.200000000000001,145.86666666666665,40.333333333333314,12,127,79,13,43,47
Black 4 Session 1 (2021-11-03),Session 1,Black 4,2021-11-03,PD,Cohort 3,Before ABA,Resistant,Yes,,,,,,0.0,538.3999999999999,365.2000000000001,114.93333333333328,199.66666666666669,228.1,0,174,211,140,106,245
Black 4 Session 1 (2021-11-05),Session 1,Black 4,2021-11-05,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,6.766666666666667,767.6000000000001,302.23333333333323,92.6,241.2666666666667,291.7333333333333,5,194,161,97,123,228
Black 4 Session 1 (2021-11-07),Session 1,Black 4,2021-11-07,R1,Cohort 3,Before ABA,Resistant,Yes,,,,,,2.1,583.4999999999997,151.20000000000007,104.0666666666667,110.19999999999999,237.53333333333316,1,130,114,127,77,205
Black 4 Session 2 (2021-08-16),Session 2,Black 4,2021-08-16,PD,Cohort 1,Before ABA,Susceptible,Yes,,,,Exclude,,8.233333333333334,304.20000000000005,185.5333333333334,53.46666666666667,23.766666666666666,126.29999999999997,6,98,83,65,29,115
Black 4 Session 2 (2021-08-17),Session 2,Black 4,2021-08-17,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,Exclude,0.0,22.733333333333334,10.4,2.8000000000000003,0.8999999999999999,17.666666666666664,0,7,8,3,1,12
Black 4 Session 2 (2021-08-18),Session 2,Black 4,2021-08-18,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,9.633333333333335,826.2666666666665,265.83333333333326,110.56666666666669,183.86666666666665,452.733333333333,2,187,134,118,128,272
Black 4 Session 2 (2021-08-19),Session 2,Black 4,2021-08-19,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,17.1,1053.6000000000001,296.2333333333333,82.33333333333336,102.40000000000003,295.5333333333336,13,217,150,102,97,240
Black 4 Session 2 (2021-08-20),Session 2,Black 4,2021-08-20,R1,Cohort 1,Before ABA,Susceptible,Yes,,,,,,7.366666666666666,500.7666666666665,203.83333333333337,65.53333333333332,45.600000000000016,150.1,6,88,77,71,43,111
Black 4 Session 2 (2021-09-29),Session 2,Black 4,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,6.699999999999999,505.69999999999993,200.73333333333338,11.2,54.56666666666667,70.6,7,112,83,12,42,63
Black 4 Session 2 (2021-09-30),Session 2,Black 4,2021-09-30,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,3.6,97.96666666666667,66.76666666666667,1.6333333333333333,20.633333333333333,34.800000000000004,3,27,19,1,12,24
Black 4 Session 2 (2021-10-02),Session 2,Black 4,2021-10-02,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,11.133333333333333,289.66666666666663,773.933333333333,85.73333333333335,125.86666666666665,235.66666666666674,9,118,164,105,85,176
Black 4 Session 2 (2021-10-03),Session 2,Black 4,2021-10-03,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,16.333333333333332,571.0333333333334,822.5000000000003,77.89999999999992,83.7,239.23333333333343,15,156,166,93,64,194
Black 4 Session 2 (2021-10-04),Session 2,Black 4,2021-10-04,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,31.699999999999996,333.83333333333337,648.7666666666668,58.79999999999996,57.26666666666666,156.33333333333331,14,91,107,75,48,140
Black 4 Session 2 (2021-10-05),Session 2,Black 4,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,32.733333333333334,525.4333333333335,820.7333333333331,59.699999999999996,125.4,189.00000000000006,13,136,140,74,62,138
Black 4 Session 2 (2021-10-06),Session 2,Black 4,2021-10-06,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,57.766666666666666,1183.4333333333336,313.3,9.799999999999999,93.63333333333333,67.36666666666666,22,117,94,13,47,59
